player,cost,country,position
B. Youngs,13.8,England,Scrum Half
J. George,13.6,England,Hooker
B. Vunipola,13.7,England,Back Row
P. Odogwu,11.5,England,Unknown
H. Williams,9.0,England,Prop
H. Slade,15.9,England,Centre
C. Ewels,10.1,England,Second Row
H. Randall,10.6,England,Unknown
T. Curry,15.7,England,Back Row
C. Lawes,14.7,England,Second Row
G. Martin,10.0,England,Unknown
G. Ford,14.4,England,Fly Half
E. Genge,11.6,England,Prop
M. Malins,9.2,England,Fly Half
E. Daly,15.9,England,Full Back
D. Robson,10.2,England,Scrum Half
B. Obano,8.1,England,Prop
T. West,8.7,England,Unknown
M. Itoje,15.6,England,Second Row
J. May,16.4,England,Wing
J. Willis,10.6,England,Back Row
B. Earl,10.8,England,Back Row
O. Farrell,15.9,England,Centre
O. Lawrence,8.7,England,Centre
K. Sinckler,13.9,England,Prop
A. Watson,16.8,England,Wing
M. Wilson,12.0,England,Back Row
L. Cowan-Dickie,13.5,England,Hooker
M. Vunipola,13.2,England,Prop
J. Hill,13.3,England,Second Row
W. Stuart,10.3,England,Prop
S. Bezy,10.6,France,Unknown
L. Carbonel,10.0,France,Fly Half
G. Alldritt,17.3,France,Back Row
M. Haouas,12.0,France,Prop
D. Taofifenua,10.6,France,Unknown
G. Colombe,7.8,France,Unknown
G. Fickou,15.2,France,Centre
J. Gros,9.7,France,Prop
G. Villiere,13.0,France,Wing
H. Kolingar,9.1,France,Prop
P. Barassi,6.8,France,Unknown
P. Willemse,15.2,France,Second Row
P. Mauvaka,8.7,France,Unknown
D. Penaud,15.2,France,Wing
J. Marchand,13.5,France,Hooker
J. Danty,10.6,France,Unknown
P. Bourgarit,8.5,France,Hooker
Y. Moefana,7.8,France,Unknown
K. Geraci,6.8,France,Unknown
M. Lucu,9.0,France,Unknown
R. Taofifenua,11.7,France,Second Row
U. Atonio,9.3,France,Prop
C. Baille,14.1,France,Prop
C. Ollivon,15.8,France,Back Row
B. le Roux,14.7,France,Second Row
T. Baubigny,6.8,France,Unknown
A. Vincent,15.6,France,Centre
B. Serin,13.1,France,Scrum Half
C. Woki,8.7,France,Unknown
D. Aldegheri,7.5,France,Prop
D. Bamba,11.5,France,Unknown
A. Jelonch,11.5,France,Back Row
A. Dupont,18.0,France,Scrum Half
T. Thomas,17.3,France,Wing
M. Jalibert,15.5,France,Fly Half
B. Dulin,16.2,France,Full Back
A. Bouthier,12.4,France,Unknown
D. Cretin,11.7,France,Back Row
B. Pesenti,7.8,France,Unknown
R. Baird,10.6,Ireland,Unknown
H. Keenan,14.1,Ireland,Full Back
T. Furlong,14.2,Ireland,Prop
C. Farrell,10.6,Ireland,Unknown
C. Casey,9.6,Ireland,Unknown
J. Sexton,15.1,Ireland,Fly Half
I. Henderson,12.5,Ireland,Second Row
B. Burns,9.3,Ireland,Fly Half
J. Larmour,13.2,Ireland,Wing
P. O'Mahony,12.2,Ireland,Back Row
J. Ryan,14.0,Ireland,Second Row
J. Conan,11.7,Ireland,Unknown
T. O'Toole,8.7,Ireland,Unknown
U. Dillane,8.9,Ireland,Second Row
R. Byrne,11.2,Ireland,Fly Half
J. Gibson-Park,9.0,Ireland,Scrum Half
J. Lowe,14.0,Ireland,Wing
C. Healy,12.2,Ireland,Prop
D. Heffernan,7.8,Ireland,Unknown
W. Connors,10.3,Ireland,Back Row
D. Kilcoyne,9.9,Ireland,Prop
S. McCloskey,10.6,Ireland,Unknown
A. Conway,9.6,Ireland,Unknown
S. Daly,9.6,Ireland,Unknown
E. Byrne,9.9,Ireland,Prop
C. Stander,15.9,Ireland,Back Row
A. Porter,10.4,Ireland,Prop
G. Coombes,9.6,Ireland,Unknown
K. Earls,13.1,Ireland,Wing
T. Beirne,12.4,Ireland,Second Row
G. Ringrose,15.6,Ireland,Centre
R. Kelleher,12.1,Ireland,Hooker
R. Henshaw,14.8,Ireland,Centre
B. Aki,13.4,Ireland,Unknown
R. Ruddock,11.0,Ireland,Back Row
R. Herring,9.6,Ireland,Hooker
J. van der Flier,12.4,Ireland,Back Row
C. Murray,11.9,Ireland,Scrum Half
L. Bigi,10.3,Italy,Hooker
M. Zanon,6.7,Italy,Centre
N. Cannone,8.1,Italy,Second Row
M. Lamaro,7.3,Italy,Back Row
M. Manfredi,6.8,Italy,Unknown
J. Meyer,6.1,Italy,Back Row
M. Riccioni,5.8,Italy,Prop
N. Stoian,5.8,Italy,Unknown
A. Lovotti,7.2,Italy,Prop
J. Trulla,7.9,Italy,Full Back
C. Canna,9.6,Italy,Fly Half
P. Ceccarelli,7.8,Italy,Unknown
D. Fischetti,5.6,Italy,Prop
M. Ioane,12.9,Italy,Wing
D. Rimpelli,5.7,Italy,Prop
D. Sisi,7.6,Italy,Second Row
S. Varney,6.3,Italy,Scrum Half
