player,cost,country,position,mins,tackles,d_tackles,t_breaks,m_ball,mom,tries,conversions,penalties,d_goals,yellow,red,started,week,m_played
A. Beard,10.7,Wales,Second Row,67.57303371,10,1,0,17,0,0,0,0,0,0,0,1,2,1
A. Bouthier,12.4,France,Full Back,22.8244898,0,0,0,0,0,0,0,0,0,0,0,0,2,0
A. Dupont,18,France,Scrum Half,67.57303371,12,0,2,50,0,0,0,0,0,0,0,1,2,1
A. Jelonch,11.5,France,Back Row,67.57303371,8,2,1,16,0,0,0,0,0,0,0,1,2,1
A. Jones,14.1,Wales,Second Row,67.57303371,12,0,0,10,0,0,0,0,0,0,0,1,2,1
A. Lovotti,7.2,Italy,Prop,67.57303371,16,0,0,5,0,0,0,0,0,0,0,1,2,1
A. Porter,10.4,Ireland,Prop,67.57303371,10,0,0,25,0,0,0,0,0,0,0,1,2,1
A. Price,9.7,Scotland,Scrum Half,67.57303371,3,0,0,7,0,0,0,0,0,0,0,1,2,1
A. Vincent,15.6,France,Centre,67.57303371,5,1,0,17,0,0,0,0,0,0,0,1,2,1
A. Wainwright,12.4,Wales,Back Row,67.57303371,10,0,0,15,0,0,0,0,0,0,0,1,2,1
A. Watson,16.8,England,Wing,67.57303371,2,0,6,160,0,2,0,0,0,0,0,1,2,1
B. Burns,9.3,Ireland,Fly Half,67.57303371,3,0,1,8,0,0,1,2,0,0,0,1,2,1
B. Dulin,16.2,France,Full Back,67.57303371,4,0,4,60,1,0,0,0,0,0,0,1,2,1
B. Earl,10.8,England,Back Row,22.8244898,2,0,1,26,0,0,0,0,0,0,0,0,2,1
B. Serin,13.1,France,Scrum Half,22.8244898,0,0,0,0,0,0,0,0,0,0,0,0,2,0
B. Thomson,11.1,Scotland,Back Row,67.57303371,4,0,1,12,0,0,0,0,0,0,0,1,2,1
B. Vunipola,13.7,England,Back Row,67.57303371,4,0,1,12,0,0,0,0,0,0,0,1,2,1
B. Youngs,13.8,England,Scrum Half,67.57303371,1,0,0,13,0,0,0,0,0,0,0,1,2,1
B. le Roux,14.7,France,Second Row,67.57303371,16,1,0,16,0,0,0,0,0,1,0,1,2,1
C. Baille,14.1,France,Prop,67.57303371,8,0,3,42,0,0,0,0,0,0,0,1,2,1
C. Canna,9.6,Italy,Fly Half,67.57303371,11,0,0,38,0,0,0,0,0,0,0,1,2,1
C. Casey,9.6,Ireland,Scrum Half,22.8244898,0,0,0,0,0,0,0,0,0,0,0,0,2,0
C. Ewels,10.1,England,Second Row,22.8244898,2,1,0,5,0,0,0,0,0,0,0,0,2,1
C. Harris,14.8,Scotland,Centre,67.57303371,5,0,2,69,0,0,0,0,0,0,0,1,2,1
C. Healy,12.2,Ireland,Prop,67.57303371,9,0,0,0,0,0,0,0,0,0,0,1,2,1
C. Lawes,14.7,England,Second Row,67.57303371,10,0,1,32,0,0,0,0,0,0,0,1,2,1
C. Ollivon,15.8,France,Back Row,67.57303371,19,0,1,31,0,1,0,0,0,0,0,1,2,1
C. Sheedy,8.9,Wales,Fly Half,22.8244898,6,0,0,0,0,0,0,0,0,0,0,0,2,1
C. Stander,15.9,Ireland,Back Row,67.57303371,8,0,2,98,0,0,0,0,0,0,0,1,2,1
D. Biggar,15.2,Wales,Fly Half,67.57303371,6,1,0,17,0,0,0,0,0,0,0,1,2,1
D. Cherry,8.9,Scotland,Hooker,22.8244898,2,0,0,14,0,0,0,0,0,0,0,0,2,1
D. Cretin,11.7,France,Back Row,22.8244898,4,0,0,0,0,0,0,0,0,0,0,0,2,1
D. Fischetti,5.6,Italy,Prop,22.8244898,2,0,1,7,0,0,0,0,0,0,0,0,2,1
D. Graham,13.6,Scotland,Wing,67.57303371,0,0,5,88,0,1,0,0,0,0,0,1,2,1
D. Penaud,15.2,France,Wing,67.57303371,3,1,1,29,0,1,0,0,0,0,0,1,2,1
D. Robson,10.2,England,Scrum Half,22.8244898,0,0,3,37,0,0,0,0,0,0,0,0,2,1
D. Sisi,7.6,Italy,Second Row,67.57303371,15,0,1,9,0,0,0,0,0,0,0,1,2,1
D. van der Merwe,15.3,Scotland,Wing,67.57303371,4,0,3,99,0,0,0,0,0,0,0,1,2,1
E. Byrne,9.9,Ireland,Prop,22.8244898,5,0,0,8,0,0,0,0,0,0,0,0,2,1
E. Daly,15.9,England,Full Back,67.57303371,0,0,0,94,0,1,0,0,0,0,0,1,2,1
E. Dee,10.1,Wales,Hooker,22.8244898,5,0,0,4,0,0,0,0,0,0,0,0,2,0
E. Genge,11.6,England,Prop,22.8244898,1,0,2,21,0,0,0,0,0,0,0,0,2,1
F. Mori,7.9,Italy,Centre,22.8244898,5,0,4,39,0,0,0,0,0,0,0,0,2,1
F. Russell,16.4,Scotland,Fly Half,67.57303371,5,0,5,66,0,0,1,3,0,0,0,1,2,1
F. Ruzza,7,Italy,Second Row,22.8244898,3,0,0,0,0,0,0,0,0,0,0,0,2,1
G. Alldritt,17.3,France,Back Row,67.57303371,11,0,5,89,0,0,0,0,0,0,0,1,2,1
G. Davies,12.2,Wales,Scrum Half,67.57303371,6,0,0,0,0,0,0,0,0,0,0,1,2,1
